Код,Артикул (с /),Артикул,Доп. поле: Артикул на сайте WB,Штрихкод EAN13,Группы,Код_1,Наименование,Артикул_2,Цена: Цена закупки в юанях,Закупочная цена,Штрихкод EAN13_3,Штрихкод EAN8,Вес,Доп. поле: Артикул на сайте WB_4,Доп. поле: ABC анализ,Доп. поле: Логистика (Кит-Мск),Доп. поле: Дата поступления первого остатка,Остаток,Продаж в день
00564a,564a,564a,нет кт,2000000022123,Здоровье,00564a,Будильник энурезный беспроводной с вибрацией. Белый в овальной коробочке / Бонд,564a,"0,0","0,0",2000000022123,,"0,25",нет кт,NEW,,,,
00876,876,876,77316827,2000000005232,Для мам,00876,Пакет для хранения грудного молока 200 мл. 30 шт.,876,"7,99","215,0",2000000005232,876,"0,1",77316827,C2,"29,5",,0.0,
01100,1100,1100,114672722,2000000007830,Винил,01100,"Шаблон для настройки винилового проигрывателя, настройка тонарма и звукоснимателя",1100,"13,0","343,0",2000000007830,1100,"0,1",114672722,B1,"34,5",,39.0,
01889,1889,1889,163624060,2000000020273,Красота,01889,"MACK ANDY № 02 Консилер-карандаш, (ЧЕРНЫЙ)",1889,"6,1","172,0",2000000020273,,"0,03",163624060,C2,,,,
01520,1520,1520,149124663,2000000013572,Дом,01520,"Стоппер от сквозняков, пыли, шума и насекомых - СЕРЫЙ",1520,"1,6","130,0",2000000013572,1520,"0,06",149124663,C1,"34,5",,0.0,
01175,родитель_неактив,родитель_неактив,100818367,2000000009384,Хобби,01175,"Бинт бандажный, самофиксирующийся 1 штука. СИНЯЯ ЛАПКА 5*4,5 см",родитель_неактив,"1,2","244,0",2000000009384,родитель,"0,2",100818367,C1,"34,5",,0.0,
01437,1437,1437,143214710,2000000012520,Дом,01437,Подставка для Яиц - форфор - 1 шт черная,1437,"5,8","215,0",2000000012520,1437,"0,1",143214710,Sale,"34,5",,0.0,
01598,1598,1598,149129672/169481466,2000000014968,Сад,01598,Дождеватель птичка 125мл - оранжевая 3 шт,1598,"3,9","159,0",2000000014968,1598,"0,085",149129672/169481466,Sale,"34,5",,0.0,
01215,1215,1215,107294353,2000000009872,Дом,01215,Подставка для зубочисток,1215,"25,0","514,0",2000000009872,1215,"0,1",107294353,Sale,"27,9",,0.0,
01537,1537,1537,148395818,2000000013749,Красота,01537,Шапочка для душа многоразовая - желтая окантовка,1537,"2,1","103,0",2000000013749,1537,"0,01",148395818,Sale,"34,5",,0.0,
